symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,hold_days,regime,year
HAL,2020-09-17,2020-09-21,14.849639694213868,13.193560266494751,506,-837.9761904258733,stop,4,CHOPPY,2020
MATX,2020-09-17,2020-09-21,41.44272061157226,37.86411862945557,181,-647.7269587631217,stop,4,CHOPPY,2020
DVN,2020-09-17,2020-09-23,9.969899808883667,8.66264030456543,753,-984.3664067516326,stop,6,CHOPPY,2020
OXY,2020-09-21,2020-09-25,11.312579961776734,10.199560266494752,664,-739.0450776672365,stop,4,CHOPPY,2020
FANG,2020-09-21,2020-10-01,32.1441618347168,29.031820152282716,233,-725.175612007141,stop,10,CHOPPY,2020
FSLR,2020-09-25,2020-10-07,63.176099235534664,78.55257908630371,118,1814.4246223907471,take_profit,12,CHOPPY,2020
DVN,2020-09-23,2020-10-13,8.697360305786132,9.481,864,677.0646958007817,max_hold,20,CHOPPY,2020
APA,2020-10-01,2020-10-15,9.328620420455932,9.740480228424072,805,331.5471454143528,regime_exit,14,CHOPPY,2020
SNOW,2020-10-07,2020-10-15,246.492,240.518,30,-179.2199999999997,regime_exit,8,CHOPPY,2020
CNK,2020-10-13,2020-10-15,7.9458598279953,7.854259885787964,945,-86.56194538593307,regime_exit,2,CHOPPY,2020
DRVN,2021-03-10,2021-03-16,27.3445809173584,24.820260837554933,274,-691.6637018661498,stop,6,CHOPPY,2021
SHLS,2021-03-10,2021-03-18,33.917698471069336,30.69848022842407,221,-711.4472316246037,stop,8,CHOPPY,2021
SOFI,2021-03-10,2021-03-24,19.098119464874266,16.447039543151856,393,-1041.874409236907,stop,14,CHOPPY,2021
DRVN,2021-03-16,2021-03-25,24.919740840911864,22.74442091369629,301,-654.7712980918882,stop,9,CHOPPY,2021
IRTC,2021-03-18,2021-04-01,131.3521763305664,136.93558670043944,57,318.25439108276305,regime_exit,14,CHOPPY,2021
SHLS,2021-03-24,2021-04-01,30.731340076446532,34.50085969543457,244,919.7627870330814,regime_exit,8,CHOPPY,2021
AFRM,2021-03-25,2021-04-01,69.69911755371093,71.30709695434571,107,172.05379586792097,regime_exit,7,CHOPPY,2021
ENPH,2021-05-18,2021-06-07,122.75502214050294,137.1950612182617,61,880.8423837432849,max_hold,20,CHOPPY,2021
COIN,2021-05-18,2021-06-07,239.478,230.9870969543457,31,-263.2179944152835,max_hold,20,CHOPPY,2021
PENN,2021-05-18,2021-06-07,80.14997785949707,84.0815,93,365.6315590667729,max_hold,20,CHOPPY,2021
COIN,2021-09-27,2021-10-15,232.70448550415043,280.0487653808594,32,1515.0169560546865,take_profit,18,CHOPPY,2021
ZG,2021-09-27,2021-10-18,91.26216183471678,85.28907908630372,82,-489.7927853698711,max_hold,21,CHOPPY,2021
NUE,2021-09-27,2021-10-18,104.12783816528322,102.32493878173828,72,-129.80875561523567,max_hold,21,CHOPPY,2021
TOST,2021-10-15,2021-10-18,56.3224190826416,51.397,133,-655.0807379913333,stop,3,CHOPPY,2021
